"Main ID","Incident ID","Incident Type","Region of Incident","Incident Date","Incident Year",Month,"Number of Dead","Minimum Estimated Number of Missing","Total Number of Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Country of Origin","Region of Origin","Cause of Death","Country of Incident","Migration Route","Location of Incident",Coordinates,"UNSD Geographical Grouping","Information Source",URL,"Source Quality"
2019.MMP00209,2019.MMP00209,Incident,"North America",2019-02-19,2019,February,1,0,1,,,1,,Unknown,"Latin America / Caribbean (P)","Mixed or unknown","United States of America","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.7725, -112.457","Northern America","Pima County Office of the Medical Examiner (PCOME)",http://www.humaneborders.info/app/mapa.asp,5
2019.MMP00210,2019.MMP00210,Incident,"Northern Africa",2019-02-19,2019,February,2,0,2,,1,1,1,Unknown,Unknown,"Mixed or unknown",Libya,"Sahara Desert crossing","Unspecified location in the desert, Libya","26.918393, 15.592092","Northern Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00211,2019.MMP00211,Incident,"Northern Africa",2019-02-19,2019,February,1,0,1,,,1,,Unknown,Unknown,Violence,Libya,"Sahara Desert crossing","Sabha, Libya","27.02249, 14.44099","Northern Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00212,2019.MMP00212,Incident,"Northern Africa",2019-02-20,2019,February,3,0,3,,1,1,,Unknown,Unknown,"Mixed or unknown",Libya,"Sahara Desert crossing","Unspecified location in the desert, Libya","26.918393, 15.592092","Northern Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00213,2019.MMP00213,Incident,"North America",2019-02-20,2019,February,1,0,1,,,,,Unknown,"Latin America / Caribbean (P)","Mixed or unknown","United States of America","US-Mexico border crossing","AP ranch, near FM 3066, Brooks County, Texas, USA","27.1754316, -98.2668689","Northern America","Brooks County Sheriff's Office",,5
2019.MMP00214,2019.MMP00214,Incident,"North America",2019-02-20,2019,February,1,0,1,,,1,,Mexico,"Central America",Drowning,"United States of America","US-Mexico border crossing","All-American Canal, Calexico, Imperial County, California, USA","32.705996627, -115.159694516","Northern America","La Opinión, La Crónica, Imperial County Coroner's Office",https://bit.ly/2E44gsi,5
2019.MMP00215,2019.MMP00215,Incident,"Western Asia",2019-02-21,2019,February,1,0,1,11,,1,,Bangladesh,"Southern Asia","Vehicle accident / death linked to hazardous transport",Türkiye,,"Highway near Enez, Edirne, Türkiye","40.723671108, 26.091135275","Western Asia","UNHCR, Haberturk",https://bit.ly/2E44gsi,4
2019.MMP00216,2019.MMP00216,Incident,Mediterranean,2019-02-21,2019,February,1,0,1,,,,1,Unknown,"Sub-Saharan Africa (P)",Drowning,Spain,"Western Mediterranean","Found in boat in Punta del Guadalmesi, off the coast of Tarifa, Cádiz, Spain (Gibraltar Strait)","36.004694276, -5.509231863",Uncategorized,"IOM Spain",http://bit.ly/2JlaHew,4
2019.MMP00217,2019.MMP00217,Incident,"Western Asia",2019-02-21,2019,February,3,0,3,,,3,,"Syrian Arab Republic","Western Asia",Drowning,Türkiye,,"Afrin River near Davutpaşa district, Reyhanli/Hatay, Türkiye","36.9195847, 37.0347615","Western Asia","IOM Türkiye",https://bit.ly/2Sftid6,4
2019.MMP00218,2019.MMP00218,Incident,"Western Africa",2019-02-21,2019,February,1,0,1,,,1,,Unknown,"Sub-Saharan Africa (P)",Violence,Niger,"Sahara Desert crossing","Agadez, Niger","17.012219, 7.981361","Western Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00219,2019.MMP00219,Incident,"Northern Africa",2019-02-21,2019,February,1,0,1,,1,,,Unknown,"Eastern Africa (P)","Mixed or unknown",Sudan,"Sahara Desert crossing","Unspecified location in the Sahara desert, Sudan","19.618357, 27.694968","Northern Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00220,2019.MMP00220,Incident,"Northern Africa",2019-02-21,2019,February,2,0,2,,,2,,Unknown,Unknown,"Sickness / lack of access to adequate healthcare",Libya,"Sahara Desert crossing","Kufra, Libya","23.848018, 21.993292","Northern Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00221,2019.MMP00221,Incident,"Middle Africa",2019-02-22,2019,February,1,0,1,,,1,1,Unknown,"Sub-Saharan Africa (P)","Sickness / lack of access to adequate healthcare",Chad,"Sahara Desert crossing","Faya-Largeau, Chad","17.948809, 19.120111","Middle Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00222,2019.MMP00222,Incident,"North America",2019-02-22,2019,February,1,0,1,,,1,,Unknown,"Latin America / Caribbean (P)","Mixed or unknown","United States of America","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.09755, -112.911483","Northern America","Pima County Office of the Medical Examiner (PCOME)",http://www.humaneborders.info/app/mapa.asp,5
2019.MMP00223,2019.MMP00223,Incident,"Northern Africa",2019-02-22,2019,February,2,0,2,,2,,,Unknown,"Sub-Saharan Africa (P)","Mixed or unknown",Morocco,,"Bodies found in the municipality of Béni Bouifrour, Nador, Morocco","35.143072915, -2.9870143","Northern Africa","Association Marocaine des Droits Humains - Section Nador, Nador City",http://bit.ly/2XhyX6h http://bit.ly/2XoxWZZ http://bit.ly/2BTMgAy,4
2019.MMP00224,2019.MMP00224,Incident,"North America",2019-02-22,2019,February,1,0,1,,,1,,Mexico,"Central America",Drowning,"United States of America","US-Mexico border crossing","Rio Bravo, near Eagle Pass, Maverick County, Texas, USA","28.718723271, -100.506647433","Northern America","US Border Patrol, Telemundo",https://bit.ly/2T5Uxwd https://bit.ly/2EflH9l,5
2019.MMP00225,2019.MMP00225,Incident,"Northern Africa",2019-02-23,2019,February,1,0,1,,,1,,Unknown,Unknown,"Sickness / lack of access to adequate healthcare",Libya,"Sahara Desert crossing","Unspecified location in the desert, Libya","26.918393, 15.592092","Northern Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00226,2019.MMP00226,Incident,Mediterranean,2019-02-24,2019,February,1,0,1,,,,,Unknown,Unknown,Drowning,Libya,"Central Mediterranean","Body recovered in Azzawya, Libya","32.795883457, 12.734512549",Uncategorized,"IOM Libya",,4
2019.MMP00227,2019.MMP00227,Incident,Europe,2019-02-24,2019,February,2,0,2,,,,2,Unknown,"Western / Southern Asia (P)",Drowning,Croatia,"Western Balkans","Mreznica river, Karlovac, Croatia","45.258959762, 15.406393713","Southern Europe","ANSA Med, Vijesti",http://bit.ly/2GNOUfo http://bit.ly/2XgKQJw  https://bit.ly/2tFM837,3
2019.MMP00228,2019.MMP00228,Incident,"South America",2019-02-24,2019,February,1,0,1,,,,1,"Venezuela (Bolivarian Republic of)","South America","Mixed or unknown",Brazil,,"Hospital do Pronto Socorro Municipal, Belém, State of Pará, Brazil","-1.4396877, -48.4808635","South America","O Liberal",https://t1p.de/txj8,1
2019.MMP00229,2019.MMP00229,Incident,"Northern Africa",2019-02-25,2019,February,3,0,3,,1,1,,Unknown,Unknown,"Mixed or unknown",Libya,"Sahara Desert crossing","Sabha, Libya","27.02249, 14.44099","Northern Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00230,2019.MMP00230,Incident,"Western Africa",2019-02-25,2019,February,1,0,1,,,1,,Unknown,"Sub-Saharan Africa (P)","Mixed or unknown","Burkina Faso","Sahara Desert crossing","Kantchari, Burkina Faso, near border with Niger","12.479276, 1.521893","Western Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00231,2019.MMP00231,Incident,"Northern Africa",2019-02-25,2019,February,3,0,3,,1,1,1,Unknown,"Eastern Africa (P)","Mixed or unknown",Sudan,"Sahara Desert crossing","Atbara, Sudan","17.736681, 34.037046","Northern Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00232,2019.MMP00232,Incident,"Northern Africa",2019-02-25,2019,February,1,0,1,,1,,1,Unknown,"Eastern Africa (P)","Mixed or unknown",Egypt,"Sahara Desert crossing","Unspecified location in the Sahara desert, Egypt","23.180565, 25.365494","Northern Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00233,2019.MMP00233,Incident,"North America",2019-02-25,2019,February,1,0,1,,,1,,Mexico,"Central America","Harsh environmental conditions / lack of adequate shelter, food, water","United States of America","US-Mexico border crossing","Near New River, Calexico, Imperial County, California, USA","32.680466979, -115.448329124","Northern America","Imperial County Coroner",,5
2019.MMP00234,2019.MMP00234,Incident,"North America",2019-02-25,2019,February,1,0,1,,1,,,Unknown,"Latin America / Caribbean (P)","Mixed or unknown","United States of America","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.797767, -110.2663","Northern America","Pima County Office of the Medical Examiner (PCOME)",http://www.humaneborders.info/app/mapa.asp,5
2019.MMP00235,2019.MMP00235,Incident,"North America",2019-02-25,2019,February,1,0,1,,,1,,Unknown,"Latin America / Caribbean (P)","Mixed or unknown","United States of America","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.12564, -112.87799","Northern America","Pima County Office of the Medical Examiner (PCOME)",http://www.humaneborders.info/app/mapa.asp,5
2019.MMP00236,2019.MMP00236,Incident,Mediterranean,2019-02-25,2019,February,1,0,1,,,,,Unknown,Unknown,Drowning,Libya,"Central Mediterranean","Body recovered in Azzawya, Libya","32.799680261, 12.740310888",Uncategorized,"IOM Libya",,4
2019.MMP00237,2019.MMP00237,Incident,"North America",2019-02-25,2019,February,1,0,1,,,1,,Mexico,"Central America",Drowning,"United States of America","US-Mexico border crossing","Canal in Comanche Ranch, near Eagle Pass, Maverick County, Texas, USA","28.620958685, -100.160775038","Northern America","SuperChannel 12",http://bit.ly/2XugCTn https://bit.ly/2T5fozr,2
2019.MMP00238,2019.MMP00238,Incident,"North America",2019-02-26,2019,February,1,0,1,,,1,,Unknown,"Latin America / Caribbean (P)","Mixed or unknown","United States of America","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.2902, -111.3771","Northern America","Pima County Office of the Medical Examiner (PCOME)",http://www.humaneborders.info/app/mapa.asp,5
2019.MMP00239,2019.MMP00239,Incident,"North America",2019-02-26,2019,February,1,0,1,,1,,,Unknown,"Latin America / Caribbean (P)","Mixed or unknown","United States of America","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.78875, -112.15048","Northern America","Pima County Office of the Medical Examiner (PCOME)",http://www.humaneborders.info/app/mapa.asp,5
2019.MMP00240,2019.MMP00240,Incident,"North America",2019-02-27,2019,February,1,0,1,,,1,,Unknown,"Latin America / Caribbean (P)","Mixed or unknown","United States of America","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.84255, -112.438933","Northern America","Pima County Office of the Medical Examiner (PCOME)",http://www.humaneborders.info/app/mapa.asp,5
2019.MMP00241,2019.MMP00241,Incident,"Western Asia",2019-02-27,2019,February,1,0,1,,,,1,"Syrian Arab Republic","Western Asia",Violence,"Syrian Arab Republic","Syria to Türkiye","Syria-Türkiye border, Idlib province, Syria","35.979943305, 36.286786021","Western Asia","Syrian Observatory for Human Rights",http://www.syriahr.com/en/?p=118135,4
2019.MMP00242,2019.MMP00242,Incident,"Eastern Africa",2019-02-27,2019,February,1,0,1,,,1,,Unknown,"Eastern Africa (P)",Violence,Kenya,"Horn of Africa Route","Sololo, Kenya, near border with Ethiopia","3.546455, 38.663186","Eastern Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00243,2019.MMP00243,Incident,"Eastern Africa",2019-02-27,2019,February,2,0,2,,2,,,Unknown,"Eastern Africa (P)","Vehicle accident / death linked to hazardous transport",Kenya,"Horn of Africa Route","Near Moyale, Kenya, on border with Ethiopia","3.517106, 39.063164","Eastern Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00244,2019.MMP00244,Incident,"Northern Africa",2019-02-27,2019,February,2,0,2,,1,1,,Unknown,"Eastern Africa (P)","Mixed or unknown",Libya,"Sahara Desert crossing","Ajdabiya, Libya","29.680834, 20.418746","Northern Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00245,2019.MMP00245,Incident,"Northern Africa",2019-02-27,2019,February,1,0,1,,,1,,Unknown,"Eastern Africa (P)","Vehicle accident / death linked to hazardous transport",Libya,"Sahara Desert crossing","Unspecified location in the Sahara desert, Libya","23.527344, 22.255737","Northern Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00246,2019.MMP00246,Incident,"Northern Africa",2019-02-27,2019,February,1,0,1,,,1,,Unknown,"Eastern Africa (P)","Mixed or unknown",Libya,"Sahara Desert crossing","Bani Walid, Libya","31.75855, 14.09306","Northern Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00247,2019.MMP00247,Incident,"Middle Africa",2019-02-28,2019,February,1,0,1,,,1,,Unknown,"Sub-Saharan Africa (P)","Mixed or unknown","Central African Republic",,"Unspecified location in the Central African Republic","8.156476, 23.136693","Middle Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00248,"2019.MMP00248245,2019.MMP00248246,2019.MMP00248247","Split Incident",Mediterranean,2019-02-28,2019,February,2,4,6,,,1,1,"Cameroon,Guinea,Unknown","Middle Africa,Sub-Saharan Africa (P),Western Africa",Drowning,Morocco,"Western Mediterranean","Unspecified location off the coast of Tangiers, Morocco (Strait of Gibraltar)","35.856284992, -5.854248522",Uncategorized,"Alarm Phone",http://bit.ly/2CEUVaB,4
2019.MMP00251,2019.MMP00251,Incident,"Western Africa",2019-03-01,2019,March,4,0,4,,,,,Unknown,"Sub-Saharan Africa (P)","Harsh environmental conditions / lack of adequate shelter, food, water",Mali,,"Mopti, Mali","14.469729, -4.160487","Western Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00252,2019.MMP00252,Incident,"Western Africa",2019-03-01,2019,March,1,0,1,,,1,,Unknown,"Sub-Saharan Africa (P)","Sickness / lack of access to adequate healthcare","Burkina Faso","Sahara Desert crossing","Kantchari, Burkina Faso, near border with Niger","12.479276, 1.521893","Western Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00253,2019.MMP00253,Incident,"Central America",2019-03-03,2019,March,2,0,2,7,,,,Guatemala,"Central America",Violence,Mexico,,"Comitán de Domínguez-Tuxtla Gutiérrez Highway, near San Francisco Pujiltic town, in Venustiano Carranza municipality, Chiapas, Mexico","16.345883872, -92.595581926","Central America","Fiscalía General del Estado de Chiapas, Contraste, El Diario de Coahuila",http://bit.ly/2He15S2,5
2019.MMP00254,2019.MMP00254,Incident,"North America",2019-03-03,2019,March,1,0,1,,,1,,Mexico,"Central America",Drowning,"United States of America","US-Mexico border crossing","All American Canal, Calexico, Imperial County, California, USA","32.666091672, -115.52755085","Northern America","Imperial County Coroner's Office",,5
2019.MMP00255,2019.MMP00255,Incident,"Western Africa",2019-03-03,2019,March,1,0,1,,1,,,Unknown,"Sub-Saharan Africa (P)","Sickness / lack of access to adequate healthcare",Mali,,"Ségou, Mali","13.436905, -6.200409","Western Africa","Mixed Migration Monitoring Mechanism Initiative (4Mi)",http://www.mixedmigration.org/4mi/,2
2019.MMP00256,2019.MMP00256,Incident,"Central America",2019-03-03,2019,March,1,0,1,,,1,,Unknown,"Latin America / Caribbean (P)","Vehicle accident / death linked to hazardous transport",Mexico,,"Train tracks between Puente Naranjas and Colonia Las Terceras, San Luis Potosí, Mexico","22.1728887, -100.9674528","Central America","Pulso, San Luis Hoy",http://bit.ly/2O0YdJA http://bit.ly/2XTskHr,3
2019.MMP00257,2019.MMP00257,Incident,Mediterranean,2019-03-03,2019,March,1,0,1,,,1,,Unknown,Unknown,Drowning,Spain,"Western Mediterranean","Body recovered in the Gibraltar Strait, off the coast of Ceuta, Spain","35.907899478, -5.347827507",Uncategorized,"Europa Press, El Faro de Ceuta",http://bit.ly/2C3G7C9 http://bit.ly/2GYk8R6,3
